network_name,type,direction,freq_start_mhz,freq_end_mhz,note
THAISAT-78.5E (78.5E),,,17700.0,21200.0,
THAICOM-Q2 (78.5E),,,17700.0,21200.0,
THAICOM-IP1 (119.5E),,,17700.0,21200.0,
THAICOM-P3 (119.5E),,,17700.0,21200.0,
THAISAT-119.5E (119.5E),,,17700.0,21200.0,
THAICOM-51E (51E),,,17700.0,21200.0,
THAISAT-126E (126E),,,17700.0,21200.0,
THAISAT-142E (142E),,,17700.0,21200.0,
THAISAT-120E (120E),,,17700.0,21200.0,
THAISAT-78.5E (78.5E),,,21400.0,22000.0,
THAISAT-119.5E (119.5E),,,21400.0,22000.0,
THAICOM-N5_1 (142E),,,21400.0,22000.0,
THAISAT-142E (142E),,,24650.0,25250.0,
THAISAT-78.5E (78.5E),,,27000.0,31000.0,
THAICOM-IP1 (119.5E),,,27000.0,31000.0,
THAICOM-P3 (119.5E),,,27000.0,31000.0,
THAISAT-119.5E (119.5E),,,27000.0,31000.0,
THAICOM-51E (51E),,,27000.0,31000.0,
THAISAT-126E (126E),,,27000.0,31000.0,
THAISAT-142E (142E),,,27000.0,31000.0,
THAISAT-120E (120E),,,27000.0,31000.0,
THAISAT-142E (142E),,,37500.0,42550.0,
THAISAT-142E (142E),,,47200.0,50200.0,
THAISAT-142E (142E),,,50400.0,51400.0,
